Player,Pos,FG%,3P%,2P%,eF%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MCid,KMid,Hierid
Joe Harris,SF,0.512,0.484,0.565,0.669,0.727,0.6,3.1,3.7,1.8,0.6,0.2,0.8,2.1,14.2,3,3,1
Tobias Harris,PF,0.522,0.401,0.558,0.568,0.895,1.1,6.3,7.3,3.6,0.9,0.8,1.9,2,20.5,2,2,1
Josh Hart,SF,0.439,0.326,0.583,0.531,0.775,1.1,6.9,8,2.3,0.8,0.3,1,2.4,9.2,1,3,1
Jaxson Hayes,C,0.662,0.667,0.662,0.669,0.787,1.3,2.4,3.7,0.6,0.3,0.5,0.7,1.9,6.1,1,3,1
Gordon Hayward,SF,0.473,0.415,0.499,0.537,0.843,0.8,5,5.9,4.1,1.2,0.3,2.1,1.7,19.6,2,2,2
Tyler Herro,SG,0.427,0.33,0.498,0.497,0.824,0.5,4.6,5.1,3.5,0.7,0.4,2.1,1.4,15.6,2,3,3
Buddy Hield,SG,0.396,0.383,0.433,0.536,0.851,0.4,4.1,4.5,3.2,0.8,0.4,1.7,2.5,16.5,3,3,3
Solomon Hill,PF,0.371,0.325,0.509,0.493,0.75,0.6,2,2.6,0.9,0.7,0.2,0.6,1.5,4.5,3,3,3
Aaron Holiday,PG,0.394,0.36,0.419,0.47,0.768,0.2,1.1,1.2,1.7,0.6,0.1,0.9,1.6,7.2,3,3,3
Jrue Holiday,PG,0.512,0.397,0.578,0.584,0.823,1.3,3.3,4.5,5.4,1.8,0.5,2.1,1.7,17.3,2,2,2
Justin Holiday,SG,0.422,0.387,0.512,0.562,0.8,0.5,3.2,3.7,1.7,1.3,0.4,0.8,2,11.3,3,3,3
Richaun Holmes,C,0.641,0.222,0.65,0.643,0.8,2.7,6.3,9,1.7,0.7,1.7,1.2,3.7,14.2,1,1,1
Rodney Hood,SF,0.369,0.298,0.423,0.433,0.824,0.5,1.4,1.8,1.1,0.5,0.1,0.8,1.5,4.8,3,3,3
Talen Horton-Tucker,SG,0.45,0.267,0.516,0.485,0.827,0.4,2.3,2.7,2.3,0.9,0.4,1.4,2,8.4,2,3,3
Dwight Howard,C,0.581,0.267,0.604,0.59,0.579,2.6,5.7,8.3,0.8,0.5,0.9,1.7,3,6.9,1,1,1
Kevin Huerter,SG,0.421,0.365,0.486,0.519,0.824,0.6,2.8,3.3,3.4,1.2,0.2,1.2,2.4,11.7,3,3,3
Serge Ibaka,C,0.507,0.352,0.577,0.562,0.822,1.7,4.9,6.7,1.7,0.2,1.2,1.1,1.9,10.9,1,1,1
Andre Iguodala,SF,0.378,0.331,0.522,0.503,0.636,0.7,3.2,3.8,2.1,1,0.5,1,1.3,4.5,3,3,3
Joe Ingles,SF,0.534,0.5,0.62,0.713,0.857,0.4,3.2,3.6,4.1,0.7,0.2,1.6,1.8,11.6,3,3,1
Brandon Ingram,SF,0.475,0.386,0.521,0.541,0.876,0.6,4.3,4.9,4.7,0.6,0.7,2.4,2,23.8,2,2,3
Kyrie Irving,PG,0.514,0.398,0.572,0.581,0.904,1.1,3.7,4.9,6.2,1.2,0.6,2.3,2.8,27.9,2,2,2
Josh Jackson,SG,0.421,0.291,0.494,0.473,0.719,1,3.1,4,2.1,0.9,0.7,2.1,2.8,12.7,2,3,3
Reggie Jackson,SG,0.454,0.418,0.485,0.552,0.797,0.3,2.3,2.7,2.9,0.6,0.1,1.1,1.9,9.7,3,3,3
LeBron James,PG,0.513,0.368,0.592,0.578,0.703,0.6,7.3,7.9,7.9,1,0.6,3.7,1.6,25.4,2,2,2
Cameron Johnson,PF,0.442,0.387,0.566,0.576,0.881,0.5,2.8,3.3,1.3,0.6,0.3,0.7,1.3,9.8,3,3,1
Keldon Johnson,SF,0.476,0.328,0.526,0.518,0.748,1.6,4.9,6.5,1.8,0.6,0.5,1.1,2.1,13.1,3,3,1
Stanley Johnson,PF,0.383,0.351,0.435,0.492,0.778,0.4,1.9,2.3,1.2,0.6,0.3,0.7,1.8,2.9,3,3,3
Nikola Jokic,C,0.571,0.422,0.605,0.61,0.858,2.8,8.1,10.9,8.7,1.5,0.6,3.1,2.7,26.3,2,2,2
Derrick Jones Jr.,SF,0.483,0.328,0.612,0.558,0.658,1.6,2.6,4.2,0.8,0.7,1.1,0.6,2.4,7.8,1,1,1
Tyus Jones,PG,0.432,0.312,0.493,0.484,0.906,0.4,1.9,2.3,4.1,1.1,0.1,0.8,0.4,7,2,3,3
DeAndre Jordan,C,0.768,0,0.772,0.768,0.492,2,5.2,7.2,1.6,0.3,1.2,1.5,2.1,7.5,1,1,1
Cory Joseph,PG,0.455,0.333,0.517,0.511,0.826,0.6,1.8,2.4,2.8,0.9,0.2,1.2,2.2,7.2,3,3,3
Enes Kanter,C,0.602,0,0.604,0.602,0.783,4.3,7.4,11.7,1.3,0.5,0.7,1.2,2.6,12,1,1,1
Luke Kennard,SG,0.485,0.469,0.504,0.613,0.842,0.3,2.4,2.7,1.7,0.3,0.2,0.8,1.5,8.1,3,3,3
Furkan Korkmaz,SG,0.389,0.358,0.437,0.497,0.742,0.3,1.8,2,1.2,0.8,0.2,0.9,1.1,8.6,3,3,3
Kyle Kuzma,SF,0.434,0.351,0.518,0.522,0.636,1.8,4.9,6.8,1.7,0.4,0.6,1.8,1.7,12.6,1,3,1
Zach LaVine,SG,0.507,0.418,0.571,0.595,0.851,0.6,4.4,5,4.8,0.8,0.4,3.7,2.4,27.2,2,2,2
Jake Layman,SF,0.497,0.279,0.649,0.555,0.727,0.3,1.3,1.7,0.7,0.7,0.4,0.6,1,5.4,1,3,3
Damion Lee,SG,0.454,0.387,0.631,0.595,0.9,0.4,2.8,3.1,1.3,0.6,0.1,0.5,1.6,6.4,3,3,1
Alex Len,C,0.624,0.286,0.669,0.64,0.579,1,2.7,3.7,0.8,0.3,1.1,0.9,2.1,6.5,1,1,1
Kawhi Leonard,SF,0.515,0.39,0.56,0.567,0.876,1.2,5.5,6.7,5,1.8,0.4,1.9,1.7,25.8,2,2,2
Damian Lillard,PG,0.443,0.38,0.517,0.545,0.935,0.5,3.7,4.3,7.7,0.9,0.3,3.2,1.6,29.2,2,2,2
Kevon Looney,C,0.578,0.364,0.602,0.596,0.741,1.6,2.4,4,1.9,0.4,0.4,0.6,2,3.8,3,3,1
Brook Lopez,C,0.478,0.333,0.62,0.561,0.846,1.4,3.5,5,0.8,0.6,1.4,0.9,2.1,11.3,1,1,1
Robin Lopez,C,0.616,0.278,0.638,0.625,0.702,2.1,2,4.1,0.9,0.3,0.6,1.1,1.7,8.7,1,1,1
Kyle Lowry,PG,0.436,0.394,0.483,0.541,0.881,0.8,4.6,5.4,7.3,1,0.3,2.8,3.2,17,2,2,2
Timothé Luwawu-Cabarrot,SF,0.356,0.32,0.435,0.465,0.806,0.5,1.9,2.4,1.3,0.7,0.1,0.8,1.9,6.6,3,3,3
Théo Maledon,PG,0.38,0.363,0.4,0.477,0.795,0.4,3.1,3.5,3.3,0.9,0.1,2.1,2.1,9.7,2,3,3
Terance Mann,SG,0.49,0.379,0.525,0.536,0.779,0.9,2.9,3.8,1.4,0.4,0.2,0.6,1.8,6.3,3,3,3
Cody Martin,SF,0.45,0.275,0.528,0.492,0.6,0.8,1.7,2.5,1.4,0.6,0.2,0.6,0.9,3.8,3,3,3
Garrison Mathews,SG,0.436,0.418,0.514,0.606,0.887,0.3,1.2,1.5,0.5,0.6,0.1,0.2,1.8,6.6,3,3,3
Wesley Matthews,SG,0.352,0.34,0.395,0.486,0.84,0.3,1.3,1.7,1,0.6,0.3,0.4,1.4,4.6,3,3,3
Tyrese Maxey,SG,0.451,0.288,0.5,0.484,0.857,0.2,1.4,1.6,1.6,0.3,0.2,0.6,1.1,7.2,3,3,3
T.J. McConnell,PG,0.557,0.32,0.577,0.57,0.6,0.7,2.9,3.6,6.7,1.7,0.4,1.9,1.6,7.9,2,2,2
Jaden McDaniels,PF,0.443,0.378,0.517,0.543,0.571,0.8,2.8,3.6,1.1,0.5,1,0.7,2.5,6.6,1,3,3
Doug McDermott,PF,0.518,0.384,0.628,0.605,0.841,1,2.6,3.6,1.4,0.3,0.1,0.8,1.7,13.2,3,3,1
Khris Middleton,SF,0.489,0.433,0.516,0.559,0.889,0.8,5.2,5.9,5.5,1.1,0.2,2.8,2.4,20.4,2,2,2
Patty Mills,PG,0.431,0.389,0.523,0.565,0.905,0.3,1.4,1.7,2.5,0.6,0,0.9,1.3,12.4,3,3,3
Paul Millsap,PF,0.504,0.389,0.576,0.579,0.703,1.5,3.4,4.8,1.7,0.9,0.7,0.9,2.1,9.4,3,3,1
Shake Milton,SG,0.454,0.326,0.506,0.501,0.866,0.6,1.7,2.3,3,0.7,0.3,1.7,2.2,13.9,2,3,3
Donovan Mitchell,SG,0.436,0.394,0.468,0.52,0.84,1,3.5,4.5,5.4,1,0.3,2.8,2.2,25.8,2,2,2
Ja Morant,PG,0.445,0.255,0.503,0.475,0.751,0.9,2.6,3.5,7.4,0.9,0.2,3,1.5,18.8,2,2,2
Marcus Morris,PF,0.451,0.462,0.439,0.573,0.855,0.6,3.3,3.9,1,0.5,0.3,0.9,2,12.6,3,3,3
Markieff Morris,PF,0.428,0.344,0.539,0.526,0.732,0.8,3.9,4.7,1.1,0.3,0.3,0.7,1.8,7,3,3,3
Monte Morris,PG,0.474,0.35,0.545,0.538,0.766,0.2,1.9,2.2,3.4,0.7,0.3,0.7,1,10.3,2,3,3
Mychal Mulder,PG,0.407,0.383,0.563,0.573,0.588,0,0.8,0.9,0.4,0.2,0.2,0.2,0.7,3.7,3,3,3
Dejounte Murray,PG,0.457,0.314,0.494,0.489,0.811,0.7,6.2,6.9,5.2,1.5,0.1,1.7,2.1,15.7,2,2,2
Jamal Murray,PG,0.48,0.412,0.526,0.562,0.864,0.8,3.3,4,4.8,1.3,0.3,2.2,2,21.3,2,2,2
Sviatoslav Mykhailiuk,SG,0.399,0.338,0.548,0.519,0.805,0.3,2,2.3,1.6,0.8,0.2,1.3,0.8,7.7,3,3,3
Raul Neto,PG,0.439,0.35,0.492,0.505,0.809,0.4,1.9,2.3,2.2,1.1,0.1,0.8,1.6,8.1,3,3,3
Georges Niang,PF,0.423,0.394,0.5,0.566,1,0.3,1.8,2.1,0.7,0.3,0.1,0.6,1.5,5.3,3,3,3
Nerlens Noel,C,0.602,0,0.61,0.602,0.636,2.2,3.9,6.1,0.6,1,2,1.2,2.7,4.8,1,1,1
Kendrick Nunn,PG,0.457,0.372,0.535,0.546,0.907,0.4,2.7,3.1,2.6,1,0.2,1.5,1.8,13.5,3,3,3
Royce O'Neale,SF,0.436,0.383,0.581,0.577,0.868,1.2,5.4,6.6,2.5,0.8,0.5,1.1,2.8,7,3,3,1
Semi Ojeleye,PF,0.408,0.395,0.44,0.55,0.75,0.6,2.2,2.8,0.8,0.3,0,0.4,1.1,5.3,3,3,3
Josh Okogie,SG,0.352,0.232,0.438,0.4,0.815,0.9,1.6,2.5,1.1,0.9,0.4,0.7,2.1,4.7,3,3,3
Isaac Okoro,SG,0.424,0.312,0.497,0.486,0.683,0.8,2,2.8,1.7,1,0.4,1.5,2.8,8.1,2,3,3
Kelly Olynyk,PF,0.458,0.33,0.669,0.56,0.839,0.9,5.3,6.2,2.2,1,0.7,1.3,2.9,11.1,1,1,1
Cedi Osman,SF,0.352,0.305,0.415,0.439,0.746,0.6,2.7,3.3,2.6,0.9,0.2,1,1.8,9.7,3,3,3
Kelly Oubre Jr.,SF,0.436,0.311,0.515,0.496,0.692,1.5,4.6,6,1.4,1.1,0.8,1.2,2.3,15.1,2,3,1
Eric Paschall,PF,0.491,0.321,0.529,0.52,0.719,0.7,2.5,3.2,1.3,0.3,0.2,1.1,1.7,9.5,3,3,3
Chris Paul,PG,0.493,0.372,0.543,0.547,0.926,0.4,4.3,4.7,8.8,1.4,0.2,2.3,2.4,16.3,2,2,2
Cameron Payne,PG,0.467,0.402,0.517,0.554,0.897,0.2,2.1,2.3,3.6,0.6,0.2,1,1.7,6.7,3,3,3
Elfrid Payton,PG,0.435,0.263,0.469,0.457,0.71,1.3,2.4,3.7,3.5,0.8,0.2,1.8,2,11.8,2,3,3
Mason Plumlee,C,0.606,0,0.619,0.606,0.662,2.6,6.6,9.2,3.5,0.8,0.9,1.9,3.4,10.3,1,1,1
Jakob Poeltl,C,0.622,0,0.622,0.622,0.407,3.2,4.8,8,1.8,0.6,1.6,1.3,2.2,8,1,1,1
Michael Porter Jr.,SF,0.541,0.452,0.613,0.642,0.759,1.8,5.8,7.6,1,0.6,0.9,1.1,2.1,17,1,1,1
Bobby Portis,C,0.54,0.477,0.564,0.604,0.738,1.7,5.3,6.9,1,0.8,0.4,0.8,1.7,11.1,3,3,1
Norman Powell,SG,0.493,0.437,0.543,0.595,0.853,0.6,2.5,3,1.8,1.2,0.2,1.8,2.3,19.4,2,3,3
Payton Pritchard,SG,0.449,0.407,0.504,0.564,0.875,0.5,1.7,2.2,1.9,0.6,0.2,0.9,1.8,7,3,3,3
Immanuel Quickley,PG,0.385,0.371,0.4,0.479,0.894,0.4,1.9,2.3,2.2,0.5,0.2,0.9,1.9,12,3,3,3
Julius Randle,PF,0.462,0.407,0.484,0.519,0.794,1.3,9.4,10.7,6,0.9,0.3,3.4,3.1,22.9,2,2,2
Naz Reid,C,0.522,0.359,0.589,0.575,0.724,1.1,3.4,4.5,1.1,0.6,1.1,1,2.6,11,1,1,1
Josh Richardson,SG,0.43,0.328,0.521,0.507,0.916,0.8,2.8,3.6,2.8,0.9,0.4,1.5,2.5,12.4,3,3,3
Duncan Robinson,SF,0.439,0.406,0.639,0.613,0.839,0.1,3.7,3.8,1.7,0.5,0.2,1.2,2.5,13.1,3,3,1
Isaiah Roby,PF,0.502,0.314,0.561,0.539,0.71,1.6,4.1,5.7,1.8,0.8,0.7,1.8,2.6,8.9,2,1,1
Terrence Ross,SG,0.408,0.344,0.458,0.483,0.887,0.3,3.1,3.5,2.4,1.1,0.5,1.7,2,16.2,2,3,3
Terry Rozier,SG,0.464,0.405,0.528,0.57,0.837,0.5,3.5,4.1,3.5,1.3,0.4,1.9,1.8,20.3,2,2,2
Ricky Rubio,PG,0.382,0.286,0.443,0.437,0.854,0.4,2.8,3.2,6.8,1.4,0.1,1.9,2.2,8.4,2,2,2
Domantas Sabonis,PF,0.526,0.305,0.573,0.553,0.72,2.6,8.8,11.3,6,1.2,0.6,3.4,3.4,19.9,2,2,2
